Order ID,Product,Quantity Ordered,Price_Each,Order Date,Purchase Address
150502,iPhone,1,$700.00 ,2/18/2019,"866 Spruce St, Portland, ME 04101"
150503,AA Batteries (4-pack),1,$3.84 ,2/13/2019,"18 13th St, San Francisco, CA 94016"
150504,27in 4K Gaming Monitor,1,$389.99 ,2/18/2019,"52 6th St, New York City, NY 10001"
150505,Lightning Charging Cable,1,$14.95 ,2/2/2019,"129 Cherry St, Atlanta, GA 30301"
150506,AA Batteries (4-pack),2,$3.84 ,2/28/2019,"548 Lincoln St, Seattle, WA 98101"
150507,Lightning Charging Cable,1,$14.95 ,2/24/2019,"387 12th St, Austin, TX 73301"
150508,AA Batteries (4-pack),1,$3.84 ,2/21/2019,"622 Center St, San Francisco, CA 94016"
150509,Apple Airpods Headphones,1,$150.00 ,2/26/2019,"921 6th St, Seattle, WA 98101"
150510,USB-C Charging Cable,1,$11.95 ,2/17/2019,"451 2nd St, Los Angeles, CA 90001"
150511,USB-C Charging Cable,1,$11.95 ,2/22/2019,"689 River St, San Francisco, CA 94016"
150512,Bose SoundSport Headphones,1,$99.99 ,2/17/2019,"198 Center St, Los Angeles, CA 90001"
150513,Bose SoundSport Headphones,1,$99.99 ,2/25/2019,"777 Spruce St, Los Angeles, CA 90001"
150514,27in FHD Monitor,1,$149.99 ,2/3/2019,"723 Wilson St, Los Angeles, CA 90001"
150515,Apple Airpods Headphones,1,$150.00 ,2/18/2019,"101 13th St, New York City, NY 10001"
150516,Lightning Charging Cable,1,$14.95 ,2/20/2019,"303 Sunset St, Atlanta, GA 30301"
150517,Wired Headphones,1,$11.99 ,2/8/2019,"471 13th St, San Francisco, CA 94016"
150518,Macbook Pro Laptop,1,"$1,700.00 ",2/26/2019,"847 10th St, San Francisco, CA 94016"
150518,iPhone,1,$700.00 ,2/26/2019,"847 10th St, San Francisco, CA 94016"
150519,Wired Headphones,1,$11.99 ,2/23/2019,"111 Hill St, Dallas, TX 75001"
150520,AA Batteries (4-pack),2,$3.84 ,2/27/2019,"512 Church St, Dallas, TX 75001"
150521,Flatscreen TV,1,$300.00 ,2/27/2019,"588 1st St, Los Angeles, CA 90001"
150522,20in Monitor,1,$109.99 ,2/12/2019,"633 Cherry St, Boston, MA 02215"
150523,LG Dryer,1,$600.00 ,2/27/2019,"452 8th St, San Francisco, CA 94016"
150524,Wired Headphones,1,$11.99 ,2/28/2019,"311 8th St, Austin, TX 73301"
