Order_ID,Product,Quantity_Ordered, Price_Each ,Order_Date,Purchase_Address
248151,AA Batteries (4-pack),4, $3.84 ,9/19/2017,"380 North St, Los Angeles, CA 90001"
248152,USB-C Charging Cable,2, $11.95 ,9/19/2029,"511 8th St, Austin, TX 73301"
248153,USB-C Charging Cable,1, $11.95 ,9/19/2016,"151 Johnson St, Los Angeles, CA 90001"
248154,27in FHD Monitor,1, $149.99 ,9/19/2027,"355 Hickory St, Seattle, WA 98101"
248155,USB-C Charging Cable,1, $11.95 ,9/19/2001,"125 5th St, Atlanta, GA 30301"
248156,34in Ultrawide Monitor,1, $379.99 ,9/19/2013,"469 12th St, Los Angeles, CA 90001"
248157,Lightning Charging Cable,1, $14.95 ,9/19/2007,"773 Johnson St, Portland, ME 04101"
248158,Lightning Charging Cable,1, $14.95 ,9/19/2002,"682 Sunset St, Los Angeles, CA 90001"
248159,Vareebadd Phone,1, $400.00 ,9/19/2006,"664 Wilson St, New York City, NY 10001"
248160,Wired Headphones,1, $11.99 ,9/19/2001,"446 9th St, San Francisco, CA 94016"
248161,USB-C Charging Cable,1, $11.95 ,9/19/2024,"439 Spruce St, San Francisco, CA 94016"
248162,AAA Batteries (4-pack),3, $2.99 ,9/19/2014,"439 Walnut St, Seattle, WA 98101"
248163,USB-C Charging Cable,1, $11.95 ,9/19/2025,"41 North St, Portland, OR 97035"
248164,27in FHD Monitor,1, $149.99 ,9/19/2012,"88 9th St, San Francisco, CA 94016"
248165,Lightning Charging Cable,1, $14.95 ,9/19/2015,"585 Adams St, Atlanta, GA 30301"
248166,Apple Airpods Headphones,1, $150.00 ,9/19/2004,"21 9th St, Boston, MA 02215"
248167,Google Phone,1, $600.00 ,9/19/2002,"711 Forest St, San Francisco, CA 94016"
248168,USB-C Charging Cable,1, $11.95 ,9/19/2030,"219 Hickory St, San Francisco, CA 94016"
248169,20in Monitor,1, $109.99 ,9/19/2024,"140 Ridge St, San Francisco, CA 94016"
248170,AAA Batteries (4-pack),1, $2.99 ,9/19/2004,"857 Main St, Boston, MA 02215"
248171,USB-C Charging Cable,1, $11.95 ,9/19/2005,"705 Hill St, New York City, NY 10001"
248171,USB-C Charging Cable,1, $11.95 ,9/19/2005,"705 Hill St, New York City, NY 10001"
248172,Wired Headphones,1, $11.99 ,9/19/2013,"820 Hill St, Boston, MA 02215"
248173,Apple Airpods Headphones,1, $150.00 ,9/19/2014,"789 Lake St, Atlanta, GA 30301"
248174,Bose SoundSport Headphones,1, $99.99 ,9/19/2017,"385 Washington St, Dallas, TX 75001"
248175,iPhone,1, $700.00 ,9/19/2008,"736 4th St, Austin, TX 73301"
248176,AA Batteries (4-pack),2, $3.84 ,9/19/2012,"177 Sunset St, San Francisco, CA 94016"
248177,USB-C Charging Cable,1, $11.95 ,9/19/2024,"452 Adams St, San Francisco, CA 94016"
248178,Apple Airpods Headphones,1, $150.00 ,9/19/2003,"725 Jefferson St, Los Angeles, CA 90001"
248179,27in FHD Monitor,1, $149.99 ,9/19/2013,"510 Hickory St, New York City, NY 10001"
248180,USB-C Charging Cable,1, $11.95 ,9/19/2028,"99 Ridge St, New York City, NY 10001"
248181,Apple Airpods Headphones,1, $150.00 ,9/19/2008,"81 Spruce St, New York City, NY 10001"
248182,Apple Airpods Headphones,1, $150.00 ,9/19/2015,"950 West St, New York City, NY 10001"
248183,34in Ultrawide Monitor,1, $379.99 ,9/19/2018,"968 Ridge St, San Francisco, CA 94016"
248184,AA Batteries (4-pack),1, $3.84 ,9/19/2007,"948 Main St, New York City, NY 10001"
248185,34in Ultrawide Monitor,1, $379.99 ,9/19/2017,"967 Center St, New York City, NY 10001"
248186,USB-C Charging Cable,1, $11.95 ,9/19/2005,"318 Cherry St, Seattle, WA 98101"
248187,AAA Batteries (4-pack),3, $2.99 ,9/19/2007,"173 Elm St, Los Angeles, CA 90001"
248188,Apple Airpods Headphones,1, $150.00 ,9/19/2008,"136 12th St, San Francisco, CA 94016"
248189,Google Phone,1, $600.00 ,9/19/2014,"726 8th St, San Francisco, CA 94016"
248190,Bose SoundSport Headphones,1, $99.99 ,9/19/2024,"350 Lincoln St, New York City, NY 10001"
248191,AAA Batteries (4-pack),1, $2.99 ,9/19/2022,"446 2nd St, San Francisco, CA 94016"
248192,AAA Batteries (4-pack),2, $2.99 ,9/19/2021,"444 North St, Austin, TX 73301"
248193,USB-C Charging Cable,1, $11.95 ,9/19/2005,"867 Hill St, San Francisco, CA 94016"
248194,20in Monitor,1, $109.99 ,9/19/2029,"519 Cherry St, Dallas, TX 75001"
248195,ThinkPad Laptop,1, $999.99 ,9/19/2010,"631 6th St, Dallas, TX 75001"
248196,Lightning Charging Cable,1, $14.95 ,9/19/2029,"608 Spruce St, Dallas, TX 75001"
248197,Apple Airpods Headphones,1, $150.00 ,9/19/2002,"339 Highland St, Portland, OR 97035"
248198,AAA Batteries (4-pack),1, $2.99 ,9/19/2010,"200 Wilson St, Portland, OR 97035"
248199,Google Phone,1, $600.00 ,9/19/2011,"780 4th St, Boston, MA 02215"
248200,Lightning Charging Cable,1, $14.95 ,9/19/2028,"208 Main St, Atlanta, GA 30301"
248201,Bose SoundSport Headphones,1, $99.99 ,9/19/2026,"606 North St, New York City, NY 10001"
248202,27in FHD Monitor,1, $149.99 ,9/19/2028,"392 10th St, Los Angeles, CA 90001"
248203,Apple Airpods Headphones,1, $150.00 ,9/19/2021,"732 Park St, New York City, NY 10001"
248204,Macbook Pro Laptop,1," $1,700.00 ",9/19/2002,"940 Madison St, Seattle, WA 98101"
248205,AA Batteries (4-pack),3, $3.84 ,9/19/2006,"353 Lake St, Atlanta, GA 30301"
248206,AAA Batteries (4-pack),1, $2.99 ,9/19/2030,"414 7th St, San Francisco, CA 94016"
248207,Flatscreen TV,1, $300.00 ,9/19/2005,"636 13th St, Los Angeles, CA 90001"
248208,Macbook Pro Laptop,1," $1,700.00 ",9/19/2011,"22 7th St, Portland, ME 04101"
248209,Apple Airpods Headphones,1, $150.00 ,9/19/2014,"477 Church St, San Francisco, CA 94016"
248210,iPhone,1, $700.00 ,9/19/2027,"292 Washington St, San Francisco, CA 94016"
248210,Lightning Charging Cable,1, $14.95 ,9/19/2027,"292 Washington St, San Francisco, CA 94016"
248211,AA Batteries (4-pack),1, $3.84 ,9/19/2026,"602 4th St, San Francisco, CA 94016"
248212,USB-C Charging Cable,3, $11.95 ,9/19/2020,"244 Jefferson St, Boston, MA 02215"
248213,27in 4K Gaming Monitor,1, $389.99 ,9/19/2022,"852 Dogwood St, Los Angeles, CA 90001"
248214,Lightning Charging Cable,1, $14.95 ,9/19/2016,"213 West St, San Francisco, CA 94016"
248215,34in Ultrawide Monitor,1, $379.99 ,9/19/2024,"876 Maple St, San Francisco, CA 94016"
248216,AAA Batteries (4-pack),1, $2.99 ,9/19/2019,"394 Madison St, San Francisco, CA 94016"
248217,Apple Airpods Headphones,1, $150.00 ,9/19/2029,"539 Forest St, Boston, MA 02215"
248218,AA Batteries (4-pack),1, $3.84 ,9/19/2016,"258 Forest St, New York City, NY 10001"
248219,Bose SoundSport Headphones,1, $99.99 ,9/19/2024,"665 Maple St, Los Angeles, CA 90001"
248219,Google Phone,1, $600.00 ,9/19/2024,"665 Maple St, Los Angeles, CA 90001"
248220,Lightning Charging Cable,2, $14.95 ,9/19/2018,"751 Johnson St, San Francisco, CA 94016"
248221,AA Batteries (4-pack),1, $3.84 ,9/19/2008,"425 4th St, Los Angeles, CA 90001"
248222,Lightning Charging Cable,1, $14.95 ,9/19/2022,"139 Ridge St, San Francisco, CA 94016"
248223,20in Monitor,1, $109.99 ,9/19/2007,"350 11th St, Seattle, WA 98101"
248224,AAA Batteries (4-pack),2, $2.99 ,9/19/2024,"523 Wilson St, New York City, NY 10001"
248225,Lightning Charging Cable,1, $14.95 ,9/19/2030,"414 12th St, San Francisco, CA 94016"
248226,Wired Headphones,1, $11.99 ,9/19/2023,"316 10th St, Boston, MA 02215"
248227,Lightning Charging Cable,1, $14.95 ,9/19/2007,"182 Hickory St, Austin, TX 73301"
248228,Lightning Charging Cable,1, $14.95 ,9/19/2026,"956 Sunset St, Boston, MA 02215"
248229,Wired Headphones,1, $11.99 ,9/19/2008,"191 Spruce St, San Francisco, CA 94016"
248230,AA Batteries (4-pack),1, $3.84 ,9/19/2014,"939 1st St, San Francisco, CA 94016"
248231,Flatscreen TV,1, $300.00 ,9/19/2020,"753 2nd St, Los Angeles, CA 90001"
248232,Lightning Charging Cable,1, $14.95 ,9/19/2011,"339 Willow St, Los Angeles, CA 90001"
248233,AAA Batteries (4-pack),1, $2.99 ,9/19/2028,"192 Jackson St, Dallas, TX 75001"
248234,34in Ultrawide Monitor,1, $379.99 ,9/19/2005,"855 Forest St, San Francisco, CA 94016"
248235,Lightning Charging Cable,1, $14.95 ,9/19/2026,"374 Cherry St, San Francisco, CA 94016"
248236,Lightning Charging Cable,1, $14.95 ,9/19/2013,"429 Wilson St, Boston, MA 02215"
248237,Wired Headphones,1, $11.99 ,9/19/2023,"255 9th St, New York City, NY 10001"
248238,Wired Headphones,1, $11.99 ,9/19/2004,"741 11th St, Los Angeles, CA 90001"
248239,Wired Headphones,1, $11.99 ,9/19/2013,"276 11th St, Los Angeles, CA 90001"
248240,AAA Batteries (4-pack),1, $2.99 ,9/19/2028,"823 Meadow St, San Francisco, CA 94016"
248241,AA Batteries (4-pack),2, $3.84 ,9/19/2022,"210 Maple St, Seattle, WA 98101"
248242,Lightning Charging Cable,2, $14.95 ,9/19/2013,"832 Johnson St, San Francisco, CA 94016"
248243,USB-C Charging Cable,1, $11.95 ,9/19/2004,"522 12th St, San Francisco, CA 94016"
248244,Lightning Charging Cable,1, $14.95 ,9/19/2021,"57 Willow St, Dallas, TX 75001"
248245,Wired Headphones,1, $11.99 ,9/19/2015,"969 Maple St, Dallas, TX 75001"
248246,Wired Headphones,1, $11.99 ,9/19/2011,"727 Center St, Los Angeles, CA 90001"
248247,27in 4K Gaming Monitor,1, $389.99 ,9/19/2009,"192 7th St, New York City, NY 10001"
248248,Apple Airpods Headphones,1, $150.00 ,9/19/2014,"769 6th St, New York City, NY 10001"
248249,AA Batteries (4-pack),1, $3.84 ,9/19/2010,"428 Center St, Seattle, WA 98101"
248250,iPhone,1, $700.00 ,9/19/2005,"374 Ridge St, Seattle, WA 98101"
248251,Vareebadd Phone,1, $400.00 ,9/19/2022,"652 West St, Dallas, TX 75001"
248252,AA Batteries (4-pack),1, $3.84 ,9/19/2019,"565 Sunset St, Dallas, TX 75001"
248253,Bose SoundSport Headphones,1, $99.99 ,9/19/2013,"296 Highland St, Atlanta, GA 30301"
248254,AAA Batteries (4-pack),2, $2.99 ,9/19/2019,"353 Madison St, San Francisco, CA 94016"
248255,Bose SoundSport Headphones,1, $99.99 ,9/19/2002,"240 Cedar St, Seattle, WA 98101"
248256,Wired Headphones,1, $11.99 ,9/19/2003,"384 Maple St, San Francisco, CA 94016"
248257,USB-C Charging Cable,2, $11.95 ,9/19/2010,"337 11th St, Boston, MA 02215"
248258,Macbook Pro Laptop,1," $1,700.00 ",9/19/2021,"535 2nd St, Los Angeles, CA 90001"
248259,USB-C Charging Cable,1, $11.95 ,9/19/2014,"814 Lakeview St, Los Angeles, CA 90001"
248260,Apple Airpods Headphones,1, $150.00 ,9/19/2026,"998 Adams St, Portland, ME 04101"
248261,AAA Batteries (4-pack),2, $2.99 ,9/19/2004,"582 Elm St, San Francisco, CA 94016"
248262,20in Monitor,1, $109.99 ,9/19/2011,"100 Jefferson St, Seattle, WA 98101"
248263,34in Ultrawide Monitor,1, $379.99 ,9/19/2030,"327 Forest St, New York City, NY 10001"
248264,Bose SoundSport Headphones,1, $99.99 ,9/19/2005,"505 Elm St, Dallas, TX 75001"
248265,Vareebadd Phone,1, $400.00 ,9/19/2024,"939 14th St, San Francisco, CA 94016"
248265,Bose SoundSport Headphones,1, $99.99 ,9/19/2024,"939 14th St, San Francisco, CA 94016"
248266,27in 4K Gaming Monitor,1, $389.99 ,9/19/2028,"685 Cherry St, Dallas, TX 75001"
248267,Macbook Pro Laptop,1," $1,700.00 ",9/19/2009,"147 Lakeview St, Los Angeles, CA 90001"
248268,Lightning Charging Cable,1, $14.95 ,9/19/2025,"341 Jefferson St, Los Angeles, CA 90001"
248269,Lightning Charging Cable,1, $14.95 ,9/19/2018,"566 Spruce St, Atlanta, GA 30301"
248270,USB-C Charging Cable,1, $11.95 ,9/19/2008,"82 Meadow St, San Francisco, CA 94016"
248271,34in Ultrawide Monitor,1, $379.99 ,9/19/2009,"871 Lincoln St, Boston, MA 02215"
248272,ThinkPad Laptop,1, $999.99 ,9/19/2001,"246 Hill St, Dallas, TX 75001"
248273,AA Batteries (4-pack),1, $3.84 ,9/19/2002,"30 Meadow St, Seattle, WA 98101"
248274,AA Batteries (4-pack),1, $3.84 ,9/19/2027,"418 River St, Boston, MA 02215"
248275,Apple Airpods Headphones,1, $150.00 ,9/19/2018,"530 Main St, Dallas, TX 75001"
248276,iPhone,1, $700.00 ,9/19/2022,"620 North St, New York City, NY 10001"
248277,Macbook Pro Laptop,1," $1,700.00 ",9/19/2028,"391 Hill St, New York City, NY 10001"
248278,Wired Headphones,1, $11.99 ,9/19/2009,"811 14th St, Dallas, TX 75001"
248279,Bose SoundSport Headphones,1, $99.99 ,9/19/2025,"322 13th St, Atlanta, GA 30301"
248280,27in FHD Monitor,1, $149.99 ,9/19/2030,"129 Dogwood St, Los Angeles, CA 90001"
248281,Wired Headphones,1, $11.99 ,9/19/2005,"385 8th St, Los Angeles, CA 90001"
248282,Apple Airpods Headphones,1, $150.00 ,9/19/2001,"941 7th St, Boston, MA 02215"
248283,Apple Airpods Headphones,1, $150.00 ,9/19/2010,"687 4th St, Atlanta, GA 30301"
248284,27in 4K Gaming Monitor,1, $389.99 ,9/19/2022,"801 12th St, Los Angeles, CA 90001"
248285,Apple Airpods Headphones,1, $150.00 ,9/19/2030,"134 5th St, Portland, OR 97035"
